,Date,Year,Month#,Month,Franchise,City,Product,Sales,Profit,Target Profit,Target Sales,Target Status
0,2021-01-01,2021,1,January,M1,Mumbai,Amaretto,219.0,94.0,100.0,220.0,Not Achieved
1,2021-02-01,2021,2,February,M1,Mumbai,Amaretto,140.0,34.0,50.0,140.0,Achieved
2,2021-03-01,2021,3,March,M1,Mumbai,Amaretto,145.0,-2.0,30.0,180.0,Not Achieved
3,2021-04-01,2021,4,April,M1,Mumbai,Amaretto,45.0,11.0,20.0,40.0,Achieved
4,2021-05-01,2021,5,May,M1,Mumbai,Amaretto,120.0,13.0,30.0,120.0,Achieved
5,2021-06-01,2021,6,June,M1,Mumbai,Amaretto,93.0,20.0,30.0,80.0,Achieved
6,2021-07-01,2021,7,July,M1,Mumbai,Amaretto,150.0,1.0,40.0,180.0,Not Achieved
7,2021-08-01,2021,8,August,M1,Mumbai,Amaretto,170.0,47.0,80.0,210.0,Not Achieved
8,2021-09-01,2021,9,September,M1,Mumbai,Amaretto,243.0,105.0,120.0,250.0,Not Achieved
9,2021-10-01,2021,10,October,M1,Mumbai,Amaretto,140.0,33.0,50.0,140.0,Achieved
10,2021-11-01,2021,11,November,M1,Mumbai,Amaretto,132.0,-27.0,0.0,160.0,Not Achieved
11,2021-12-01,2021,12,December,M1,Mumbai,Amaretto,45.0,10.0,20.0,40.0,Achieved
12,2022-01-01,2022,1,January,M1,Mumbai,Amaretto,118.0,12.0,30.0,120.0,Not Achieved
13,2022-02-01,2022,2,February,M1,Mumbai,Amaretto,101.0,25.0,40.0,90.0,Achieved
14,2022-03-01,2022,3,March,M1,Mumbai,Amaretto,129.0,-4.0,40.0,160.0,Not Achieved
15,2022-04-01,2022,4,April,M1,Mumbai,Amaretto,165.0,46.0,70.0,200.0,Not Achieved
16,2022-05-01,2022,5,May,M1,Mumbai,Amaretto,213.0,90.0,100.0,220.0,Not Achieved
17,2022-06-01,2022,6,June,M1,Mumbai,Amaretto,134.0,32.0,50.0,140.0,Not Achieved
18,2022-07-01,2022,7,July,M1,Mumbai,Amaretto,125.0,-41.0,0.0,150.0,Not Achieved
19,2022-08-01,2022,8,August,M1,Mumbai,Amaretto,45.0,10.0,20.0,40.0,Achieved
20,2022-09-01,2022,9,September,M1,Mumbai,Amaretto,120.0,13.0,30.0,120.0,Achieved
21,2022-10-01,2022,10,October,M1,Mumbai,Amaretto,107.0,29.0,40.0,100.0,Achieved
22,2022-11-01,2022,11,November,M1,Mumbai,Amaretto,125.0,-3.0,30.0,150.0,Not Achieved
23,2022-12-01,2022,12,December,M1,Mumbai,Amaretto,163.0,45.0,70.0,200.0,Not Achieved
24,2023-01-01,2023,1,January,M1,Mumbai,Amaretto,223.0,96.0,110.0,230.0,Not Achieved
25,2023-02-01,2023,2,February,M1,Mumbai,Amaretto,129.0,28.0,50.0,130.0,Not Achieved
26,2023-03-01,2023,3,March,M1,Mumbai,Amaretto,110.0,-76.0,0.0,130.0,Not Achieved
27,2023-04-01,2023,4,April,M1,Mumbai,Amaretto,47.0,11.0,10.0,40.0,Achieved
28,2023-05-01,2023,5,May,M1,Mumbai,Amaretto,127.0,16.0,20.0,130.0,Not Achieved
29,2023-06-01,2023,6,June,M1,Mumbai,Amaretto,121.0,33.0,40.0,110.0,Achieved
30,2023-07-01,2023,7,July,M1,Mumbai,Amaretto,125.0,-3.0,30.0,150.0,Not Achieved
31,2023-08-01,2023,8,August,M1,Mumbai,Amaretto,167.0,47.0,70.0,200.0,Not Achieved
32,2023-09-01,2023,9,September,M1,Mumbai,Amaretto,256.0,111.0,120.0,260.0,Not Achieved
33,2023-10-01,2023,10,October,M1,Mumbai,Amaretto,123.0,27.0,40.0,120.0,Achieved
34,2023-11-01,2023,11,November,M1,Mumbai,Amaretto,106.0,-84.0,0.0,130.0,Not Achieved
35,2023-12-01,2023,12,December,M1,Mumbai,Amaretto,49.0,12.0,20.0,50.0,Not Achieved
36,2024-01-01,2024,1,January,M1,Mumbai,Amaretto,130.0,17.0,20.0,130.0,Achieved
37,2024-02-01,2024,2,February,M1,Mumbai,Amaretto,125.0,35.0,40.0,110.0,Achieved
38,2024-03-01,2024,3,March,M1,Mumbai,Amaretto,128.0,-2.0,40.0,160.0,Not Achieved
39,2024-04-01,2024,4,April,M1,Mumbai,Amaretto,148.0,38.0,60.0,180.0,Not Achieved
40,2024-05-01,2024,5,May,M1,Mumbai,Amaretto,276.0,121.0,130.0,280.0,Not Achieved
41,2024-06-01,2024,6,June,M1,Mumbai,Amaretto,118.0,24.0,40.0,120.0,Not Achieved
42,2024-07-01,2024,7,July,M1,Mumbai,Amaretto,96.0,-113.0,0.0,120.0,Not Achieved
43,2024-08-01,2024,8,August,M1,Mumbai,Amaretto,58.0,18.0,30.0,60.0,Not Achieved
44,2024-09-01,2024,9,September,M1,Mumbai,Amaretto,133.0,19.0,20.0,130.0,Achieved
45,2024-10-01,2024,10,October,M1,Mumbai,Amaretto,138.0,41.0,50.0,130.0,Achieved
46,2024-11-01,2024,11,November,M1,Mumbai,Amaretto,107.0,-6.0,30.0,130.0,Not Achieved
47,2024-12-01,2024,12,December,M1,Mumbai,Amaretto,142.0,36.0,60.0,170.0,Not Achieved
48,2025-01-01,2025,1,January,M1,Mumbai,Amaretto,256.0,111.0,120.0,260.0,Not Achieved
49,2025-02-01,2025,2,February,M1,Mumbai,Amaretto,110.0,20.0,40.0,110.0,Achieved
50,2025-03-01,2025,3,March,M1,Mumbai,Amaretto,87.0,-138.0,0.0,100.0,Not Achieved
51,2025-04-01,2025,4,April,M1,Mumbai,Amaretto,61.0,17.0,30.0,60.0,Achieved
52,2025-05-01,2025,5,May,M1,Mumbai,Amaretto,133.0,18.0,20.0,130.0,Achieved
53,2025-06-01,2025,6,June,M1,Mumbai,Amaretto,151.0,49.0,70.0,140.0,Achieved
54,2025-07-01,2025,7,July,M1,Mumbai,Amaretto,95.0,-10.0,20.0,110.0,Not Achieved
55,2025-08-01,2025,8,August,M1,Mumbai,Amaretto,132.0,32.0,60.0,160.0,Not Achieved
56,2025-09-01,2025,9,September,M1,Mumbai,Amaretto,301.0,133.0,140.0,310.0,Not Achieved
57,2025-10-01,2025,10,October,M1,Mumbai,Amaretto,108.0,19.0,40.0,110.0,Not Achieved
58,2025-11-01,2025,11,November,M1,Mumbai,Amaretto,87.0,-139.0,0.0,100.0,Not Achieved
59,2025-12-01,2025,12,December,M1,Mumbai,Amaretto,63.0,19.0,30.0,60.0,Achieved
60,2026-01-01,2026,1,January,M1,Mumbai,Amaretto,140.0,21.0,30.0,140.0,Achieved
61,2026-02-01,2026,2,February,M1,Mumbai,Amaretto,151.0,48.0,70.0,140.0,Achieved
62,2026-03-01,2026,3,March,M1,Mumbai,Amaretto,89.0,-11.0,20.0,110.0,Not Achieved
63,2026-04-01,2026,4,April,M1,Mumbai,Amaretto,110.0,24.0,40.0,130.0,Not Achieved
64,2026-05-01,2026,5,May,M1,Mumbai,Amaretto,302.0,134.0,140.0,310.0,Not Achieved
65,2026-06-01,2026,6,June,M1,Mumbai,Amaretto,125.0,28.0,50.0,130.0,Not Achieved
66,2026-07-01,2026,7,July,M1,Mumbai,Amaretto,109.0,-74.0,0.0,130.0,Not Achieved
67,2026-08-01,2026,8,August,M1,Mumbai,Amaretto,48.0,13.0,20.0,50.0,Not Achieved
68,2026-09-01,2026,9,September,M1,Mumbai,Amaretto,149.0,23.0,30.0,150.0,Not Achieved
69,2026-10-01,2026,10,October,M1,Mumbai,Amaretto,120.0,33.0,50.0,110.0,Achieved
70,2026-11-01,2026,11,November,M1,Mumbai,Amaretto,126.0,-3.0,30.0,150.0,Not Achieved
71,2026-12-01,2026,12,December,M1,Mumbai,Amaretto,136.0,33.0,70.0,170.0,Not Achieved
72,2021-01-01,2021,1,January,M2,Mumbai,Amaretto,302.0,133.0,160.0,300.0,Achieved
73,2021-02-01,2021,2,February,M2,Mumbai,Amaretto,123.0,26.0,60.0,110.0,Achieved
74,2021-03-01,2021,3,March,M2,Mumbai,Amaretto,109.0,-74.0,0.0,150.0,Not Achieved
75,2021-04-01,2021,4,April,M2,Mumbai,Amaretto,52.0,15.0,30.0,40.0,Achieved
76,2021-05-01,2021,5,May,M2,Mumbai,Amaretto,126.0,15.0,50.0,120.0,Achieved
77,2021-06-01,2021,6,June,M2,Mumbai,Amaretto,120.0,33.0,60.0,90.0,Achieved
78,2021-07-01,2021,7,July,M2,Mumbai,Amaretto,122.0,-5.0,50.0,170.0,Not Achieved
79,2021-08-01,2021,8,August,M2,Mumbai,Amaretto,142.0,36.0,90.0,200.0,Not Achieved
80,2021-09-01,2021,9,September,M2,Mumbai,Amaretto,290.0,128.0,130.0,280.0,Achieved
81,2021-10-01,2021,10,October,M2,Mumbai,Amaretto,138.0,33.0,50.0,130.0,Achieved
82,2021-11-01,2021,11,November,M2,Mumbai,Amaretto,116.0,-56.0,0.0,130.0,Not Achieved
83,2021-12-01,2021,12,December,M2,Mumbai,Amaretto,39.0,8.0,10.0,30.0,Achieved
84,2022-01-01,2022,1,January,M2,Mumbai,Amaretto,121.0,14.0,20.0,110.0,Achieved
85,2022-02-01,2022,2,February,M2,Mumbai,Amaretto,113.0,30.0,40.0,100.0,Achieved
86,2022-03-01,2022,3,March,M2,Mumbai,Amaretto,125.0,-4.0,10.0,140.0,Not Achieved
87,2022-04-01,2022,4,April,M2,Mumbai,Amaretto,150.0,39.0,50.0,170.0,Not Achieved
88,2022-05-01,2022,5,May,M2,Mumbai,Amaretto,302.0,134.0,130.0,290.0,Achieved
89,2022-06-01,2022,6,June,M2,Mumbai,Amaretto,127.0,29.0,40.0,120.0,Achieved
90,2022-07-01,2022,7,July,M2,Mumbai,Amaretto,102.0,-88.0,0.0,120.0,Not Achieved
